iteration,normalized_residual,solution_change,Cd,Cl
1,1,0.0322471140342,1.2982542561e-06,6.36603982996e-06
50,0.248508567101,0.00648672503443,0.0171488815372,0.0845307863839
100,0.17597831842,0.00484146292748,0.0265957158683,0.13082230729
150,0.152367690568,0.00413630919927,0.0268732738529,0.134555290511
200,0.138302338888,0.00381384691134,0.0262536565968,0.133635244549
250,0.129978775208,0.00358286161234,0.02711863613,0.134586015831
300,0.123530482272,0.00340166458291,0.0288635738841,0.138030939068
350,0.117463446555,0.00323584897272,0.0304112202418,0.142086585977
400,0.11067833539,0.0031123196358,0.0312902233774,0.144494131611
450,0.104195298969,0.00297473771159,0.0316813195014,0.144429570018
500,0.0990319614669,0.00284364767883,0.0318278294385,0.14378619623
550,0.111808365209,0.0033330259679,0.0318715934408,0.143524524434
600,0.134586933548,0.00393097508864,0.031879146995,0.143630100425
650,0.168014388824,0.00486312811178,0.031872660816,0.144035261472
700,0.210954226769,0.00614579658156,0.0318585630754,0.144666331884
750,0.23331871671,0.00662016458886,0.0318388918889,0.145443824762
800,0.272656533341,0.00752277319867,0.0318144249916,0.146314456756
850,0.276902591296,0.0078807623703,0.0317856212985,0.147261719918
900,0.260070834207,0.00767746976414,0.0317540708437,0.148296504882
950,0.239573170588,0.00697097113378,0.0317229018829,0.149434029999
1000,0.239409985853,0.00690548879328,0.0316951482326,0.150667366366
1050,0.260997114873,0.00732182201225,0.0316719723428,0.151951844109
1100,0.228933324774,0.00702761309026,0.0316529862858,0.153205824106
1150,0.246736225931,0.00711059220612,0.0316376484398,0.154329974857
1200,0.21887048036,0.00669794530175,0.0316258281817,0.155240325321
1250,0.231061878623,0.00671026586315,0.0316174663728,0.155897750569
1300,0.251633680273,0.00684078031858,0.0316121636181,0.156318019964
1350,0.237054851489,0.00703846598065,0.0316091701724,0.15655591426
1400,0.220291962793,0.00664346595872,0.031607654072,0.156676428888
1450,0.218666764139,0.00603262378128,0.0316069491848,0.156732388258
1500,0.197886713508,0.00604408096298,0.0316066367881,0.156757132152
