iteration,residual,normalized_residual,solution_change
1,18629507716.1,1,0.0322471140342
2,17371688798.5,0.932482439323,0.0290009560555
3,16218326535.8,0.870571932602,0.0262119365376
4,15159150347.2,0.813717172681,0.023790700602
5,14181789736.5,0.761254132564,0.0216672096242
6,13275128285.5,0.712586101995,0.0197877330684
7,12430016168.7,0.667221934049,0.0181110474912
8,11635237650.9,0.624559587306,0.0169103850013
9,10883136396.5,0.584188082816,0.0163470544819
10,10176970882.3,0.54628233002,0.0157730869186
11,9514240977.64,0.510708126195,0.015438120996
12,8892652800.29,0.47734233968,0.0149924923046
13,8311002736.8,0.446120362569,0.0144957243306
14,7767212124.63,0.416930615827,0.0140775253908
15,7837297141.33,0.420692659235,0.0137178886763
16,7864341152.71,0.42214433535,0.013315392001
17,7850687059.23,0.421411407047,0.0128898042991
18,7800685505.1,0.41872740944,0.0125812816768
19,7718367500.47,0.414308720235,0.012236767407
20,7607436158.68,0.408354116202,0.0118689004855
21,7467712024.66,0.400853964499,0.0115696829479
22,7304139256.6,0.392073659053,0.0112615828445
23,7121797864.59,0.382285886085,0.0109337512694
24,6923214915.68,0.37162629422,0.0106683800219
25,6710580645.29,0.360212451534,0.0103847368134
26,6485781714.73,0.348145630769,0.0101092957566
27,6250446013.17,0.33551321422,0.00986106977691
28,6018423469.11,0.32305864228,0.00959455672346
29,6066025880.15,0.325613858004,0.00936932516382
30,6089047392.62,0.326849613281,0.00913037650564
31,6087635889.08,0.326773846193,0.00890843229338
32,6062127692.3,0.32540460997,0.00874565314166
33,6013067937.36,0.322771166527,0.00856425560489
34,5941229634.11,0.318915009706,0.00835919474288
35,5844916875.98,0.313745106154,0.00813211677028
36,5727652670.18,0.307450564849,0.00788828492176
37,5591965345.24,0.300167102129,0.00766398199783
38,5439696748.41,0.291993585193,0.00747790999518
39,5272895510.71,0.283039981038,0.00748629651316
40,5115727127.47,0.274603451977,0.00749864596703
41,4946621522.88,0.265526153362,0.0074855430046
42,4879630460.68,0.261930188121,0.00744811205317
43,4897550996.71,0.262892131738,0.00738776044168
44,4903487162.65,0.263210774937,0.00730614588691
45,4892622498.1,0.262627578391,0.00720513915409
46,4865471552.46,0.261170162229,0.00708678275994
47,4822779472.4,0.258878524644,0.006953246847
48,4765507207.24,0.255804247748,0.00680671876035
49,4701275537.79,0.252356401974,0.00664794750189
50,4629592268.32,0.248508567101,0.00648672503443
51,4545798034.44,0.244010636444,0.00631829503996
52,4451217014.91,0.238933689647,0.00632183044262
53,4347286655.17,0.233354886314,0.00633966143472
54,4238840147.5,0.227533663911,0.00634080202694
55,4128181677.38,0.22159370716,0.00632610416312
56,4139484024.59,0.22220039776,0.00629659490144
57,4153654368.19,0.222961037483,0.00625344689617
58,4156842105.52,0.223132149752,0.00620029523616
59,4150947854.75,0.222815756487,0.00613739355166
60,4139655538.15,0.222209604313,0.00606328696404
61,4117725510.61,0.221032438074,0.00597931531625
62,4085515627.6,0.219303466836,0.00588682852291
63,4045292762.38,0.217144372467,0.00578609597408
64,4001430017.93,0.214789895627,0.00568234612613
65,3949196995.6,0.211986116637,0.0055776973252
66,3890113219.89,0.208814600964,0.00557605483321
67,3828945708.33,0.205531233926,0.00559173909253
68,3760753675.34,0.201870802634,0.00559623612581
69,3689826801.53,0.198063569782,0.00558997703203
70,3709457064.95,0.19911728863,0.00557349916242
71,3724822849.36,0.199942097565,0.00554743147484
72,3732916964.38,0.200376575767,0.0055124785238
73,3733715497.4,0.200419439649,0.00546940360338
74,3726681061.5,0.200041843203,0.00541840793123
75,3716018950.53,0.199469519386,0.00536522161271
76,3698709732.49,0.19854039027,0.00530737416749
77,3674811547.82,0.197257576734,0.00525115176702
78,3644568038.55,0.195634157064,0.00519697295299
79,3608540557.48,0.193700263714,0.00517670596911
80,3570606752.57,0.191664042174,0.00518581871788
81,3527096860.1,0.189328505822,0.00518921846034
82,3478375636.66,0.18671323417,0.00518589613362
83,3433635295.7,0.184311649456,0.00517577391946
84,3450268028.21,0.185204465989,0.005159620356
85,3462335930.1,0.18585225025,0.00513636590552
86,3469187779.53,0.186220045768,0.00510617751175
87,3471146938.39,0.186325210053,0.00506926704526
88,3468244992.1,0.186169438557,0.00502492130896
89,3460460724.46,0.18575159243,0.00497446546035
90,3447815382.18,0.18507281216,0.00492631173658
91,3430381828.25,0.184137008907,0.00490893084042
92,3408283003.45,0.18295078192,0.0049056617132
93,3381688119.5,0.181523214195,0.00491094198323
94,3350809613.61,0.179865708996,0.00491622962321
95,3316765591.76,0.178038284334,0.00491644090347
96,3279895309.52,0.176059150864,0.00491149088097
97,3252295967.68,0.174577665564,0.00490132905534
98,3264682376.75,0.175242546744,0.00488610803321
99,3273596702.53,0.175721052452,0.00486648045988
100,3278389440.87,0.17597831842,0.00484146292748
101,3279599710.99,0.176043283643,0.00481081807619
102,3277157404.59,0.175912184827,0.00477434446616
103,3271036376.76,0.175583618559,0.00473326158805
104,3261236766.03,0.175057592274,0.00468780522024
105,3247791712.08,0.174335884854,0.00465824879965
